data,receita_diaria,qtd_diaria,ano,fim_de_semana,dia_semana_nome,mes_nome,mm_30,mm_90,receita_log,receita_log_diff,baseline_naive,baseline_mm7,dia,semana_ano,dia_semana_1,dia_semana_2,dia_semana_3,dia_semana_4,dia_semana_5,dia_semana_6,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,lag_1,lag_7,lag_14,lag_30,qtd_lag_1,qtd_lag_7,qtd_lag_14,qtd_lag_30,mm_7,mm_14,std_7,std_14,std_30
2011-03-31,11255.6282,4.0,2011,0,Thursday,March,15696.18598,15792.86085777778,9.328712407471434,-1.1565353539709626,35782.7,14912.30702857143,31,13,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,35782.7,10734.81,13956.52,14313.08,10.0,3.0,4.0,4.0,14986.709628571427,16586.049300000002,12457.446441474092,9775.69027713397,8874.61686846719
2011-04-01,10531.53,3.0,2011,0,Friday,April,14854.480313333333,15830.360746666665,9.262223842175723,-0.06648856529571034,11255.6282,14986.709628571427,1,13,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,11255.6282,10734.81,17891.35,35782.7,4.0,3.0,5.0,10.0,14957.669628571428,16060.347871428572,12469.2415090986,9897.23306818043,8064.305099373196
2011-04-02,14313.08,4.0,2011,1,Saturday,April,14950.452706666667,15822.592988888888,9.568998947216835,0.30677510504111183,10531.53,14957.669628571428,2,13,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,10531.53,15012.1782,25568.7082,11433.9082,3.0,5.0,8.0,4.0,14857.798457142855,15256.37442857143,12471.531633565102,9515.22138469805,8039.287078200276
2011-04-03,7156.54,2.0,2011,1,Sunday,April,14485.235373333333,15743.075877777777,8.87592162550014,-0.6930773217166948,14313.08,14857.798457142855,3,13,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,14313.08,27145.1846,7156.54,21113.06,4.0,10.0,2.0,6.0,12002.277799999998,15256.37442857143,11434.495643727507,9515.22138469805,8074.1146555458345
2011-04-04,25187.1482,8.0,2011,0,Monday,April,14966.97998,15935.64821111111,10.134128853345493,1.258207227845352,7156.54,12002.277799999998,4,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7156.54,4277.3682,22307.9764,10734.81,2.0,2.0,8.0,3.0,14989.389228571426,15462.029557142856,11805.315752435776,9708.504419745079,8271.37024953765
2011-04-05,7652.3582,3.0,2011,0,Tuesday,April,14483.101313333334,15933.389544444446,8.942899810889035,-1.1912290424564578,25187.1482,14989.389228571426,5,14,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,25187.1482,699.0982,21469.62,22168.7182,8.0,1.0,6.0,7.0,15982.712085714285,14475.082285714283,10637.24317850215,9753.021897900595,8260.136739739317
2011-04-06,11433.9082,4.0,2011,0,Wednesday,April,14363.825646666666,15828.10208,9.344426078440398,0.4015262675513629,7652.3582,15982.712085714285,6,14,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7652.3582,35782.7,22168.7182,15012.1782,3.0,10.0,7.0,5.0,12504.313257142858,13708.310142857143,6094.573284790917,9520.844430888066,8278.049007126343
2011-04-07,33246.0664,11.0,2011,0,Thursday,April,15114.200859999999,16080.20804,10.411721813620202,1.0672957351798047,11433.9082,12504.313257142858,7,14,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11433.9082,11255.6282,10734.81,10734.81,4.0,4.0,3.0,3.0,15645.80442857143,15316.257028571428,9852.590883859515,10795.61711153508,8932.185387390613
2011-04-08,29121.9782,9.0,2011,0,Friday,April,15269.498466666666,16244.751353333331,10.279282770432708,-0.13243904318749422,33246.0664,15645.80442857143,8,14,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,33246.0664,10531.53,10734.81,24463.05,11.0,3.0,3.0,7.0,18301.582742857143,16629.626185714285,10712.303130457502,11301.969451355488,9138.451282454746
2011-04-09,17891.35,5.0,2011,1,Saturday,April,15508.0498,16286.490797777777,9.792128526176745,-0.4871542442559633,29121.9782,18301.582742857143,9,14,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,29121.9782,14313.08,15012.1782,10734.81,9.0,4.0,5.0,3.0,18812.76417142857,16835.281314285712,10574.746819317366,11296.467684063495,9109.356628226547
2011-04-10,28016.32,8.0,2011,1,Sunday,April,16441.927133333334,16518.26613111111,10.240578169349465,0.4484496431727205,17891.35,18812.76417142857,10,14,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,17891.35,7156.54,27145.1846,0.0,5.0,2.0,10.0,0.0,21792.73274285714,16897.505271428574,9640.435769058866,11359.847245116807,8898.32292570124
2011-04-11,42557.68,12.0,2011,0,Monday,April,17627.907799999997,16712.819353333332,10.658639108496956,0.418060939147491,28016.32,21792.73274285714,11,15,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,28016.32,25187.1482,4277.3682,6978.26,8.0,8.0,2.0,2.0,24274.237285714287,19631.813257142854,12477.8733205809,12625.085613631543,9907.328224241666
2011-04-12,18233.8882,6.0,2011,0,Tuesday,April,17957.322193333337,16790.633353333335,9.811091972157355,-0.8475471363396014,42557.68,24274.237285714287,12,15,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,42557.68,7652.3582,699.0982,8351.4564,12.0,3.0,1.0,4.0,25785.884428571426,20884.298257142855,10633.18193809998,11414.06238390277,9751.319398146497
2011-04-13,10734.81,3.0,2011,0,Wednesday,April,17718.77086,16750.87479777778,9.281340161588393,-0.5297518105689623,18233.8882,25785.884428571426,13,15,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,18233.8882,11433.9082,35782.7,17891.35,6.0,4.0,10.0,5.0,25686.01325714286,19095.163257142856,10792.53715000288,10848.205601573989,9840.121596579922
2011-04-14,6953.26,2.0,2011,0,Thursday,April,17473.443526666666,16671.07990888889,8.847109700422223,-0.4342304611661696,10734.81,25686.01325714286,14,15,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10734.81,33246.0664,11255.6282,14313.08,3.0,11.0,4.0,4.0,21929.89805714286,18787.851242857145,12205.708910899222,11144.269577535491,10018.093505145569
2011-04-15,18183.8882,6.0,2011,0,Friday,April,17579.167193333335,16795.864666666665,9.808346209478078,0.9612365090558548,6953.26,21929.89805714286,15,15,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,6953.26,29121.9782,10531.53,15012.1782,2.0,9.0,3.0,5.0,20367.313771428573,19334.448257142856,11825.754842887272,10893.000053547792,10007.954261782817
2011-04-16,10531.53,3.0,2011,1,Saturday,April,17465.00086,16628.784908888887,9.262223842175723,-0.5461223673023543,18183.8882,20367.313771428573,16,15,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,18183.8882,17891.35,14313.08,13956.52,6.0,5.0,4.0,4.0,19315.910914285716,19064.33754285714,12396.000535449894,11072.497618535577,10070.047607057371
2011-04-17,28447.88,8.0,2011,1,Sunday,April,17816.88519333333,16819.809928888888,10.255864071468492,0.9936402292927689,10531.53,19315.910914285716,17,15,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,10531.53,28016.32,7156.54,17891.35,3.0,8.0,2.0,5.0,19377.562342857145,20585.147542857147,12447.450277616375,10769.178918776694,10267.956665640997
2011-04-18,15012.1782,5.0,2011,0,Monday,April,17465.00086,16827.577686666667,9.616683641054776,-0.6391804304137167,28447.88,19377.562342857145,18,16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,28447.88,42557.68,25187.1482,25568.7082,8.0,12.0,8.0,8.0,15442.490657142858,19858.36397142857,7106.09257839288,10778.048795200579,10173.593323771855
2011-04-19,21469.62,6.0,2011,0,Tuesday,April,17942.103526666666,16641.225797777777,9.974440767959372,0.3577571269045965,15012.1782,15442.490657142858,19,16,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,15012.1782,18233.8882,7652.3582,7156.54,5.0,6.0,3.0,2.0,15904.738057142857,20845.31124285714,7416.400628087225,10191.002917648473,10007.758770979597
