numero_pedido,data_pedido,status_pedido,trimestre,mes,ano,porte_negocio,pais,territorio,estado,cidade,linha_produto,preco_sugerido,codigo_produto,quantidade_pedida,preco_unitario,valor_total
10107,2/24/2003 0:00,Shipped,1,2,2003,Medium,USA,,NY,NYC,Motorcycles,95,S10_1678,30,95.7,2871.0
10107,2/24/2003 0:00,Shipped,1,2,2003,Small,USA,,NY,NYC,Motorcycles,95,S10_1678,30,95.7,2871.0
10121,5/7/2003 0:00,Shipped,2,5,2003,Large,France,EMEA,,Reims,Motorcycles,95,S10_1678,34,81.35,2765.9
10121,5/7/2003 0:00,Shipped,2,5,2003,Medium,France,EMEA,,Reims,Motorcycles,95,S10_1678,34,81.35,2765.9
10121,5/7/2003 0:00,Shipped,2,5,2003,Small,France,EMEA,,Reims,Motorcycles,95,S10_1678,34,81.35,2765.9
10134,7/1/2003 0:00,Shipped,3,7,2003,Large,France,EMEA,,Paris,Motorcycles,95,S10_1678,41,94.74,3884.34
10134,7/1/2003 0:00,Shipped,3,7,2003,Medium,France,EMEA,,Paris,Motorcycles,95,S10_1678,41,94.74,3884.34
10134,7/1/2003 0:00,Shipped,3,7,2003,Small,France,EMEA,,Paris,Motorcycles,95,S10_1678,41,94.74,3884.34
10145,8/25/2003 0:00,Shipped,3,8,2003,Large,USA,,CA,Pasadena,Motorcycles,95,S10_1678,45,83.26,3746.7
10145,8/25/2003 0:00,Shipped,3,8,2003,Medium,USA,,CA,Pasadena,Motorcycles,95,S10_1678,45,83.26,3746.7
10145,8/25/2003 0:00,Shipped,3,8,2003,Small,USA,,CA,Pasadena,Motorcycles,95,S10_1678,45,83.26,3746.7
10159,10/10/2003 0:00,Shipped,4,10,2003,Large,USA,,CA,San Francisco,Motorcycles,95,S10_1678,49,100.0,5205.27
10159,10/10/2003 0:00,Shipped,4,10,2003,Medium,USA,,CA,San Francisco,Motorcycles,95,S10_1678,49,100.0,5205.27
10159,10/10/2003 0:00,Shipped,4,10,2003,Small,USA,,CA,San Francisco,Motorcycles,95,S10_1678,49,100.0,5205.27
10168,10/28/2003 0:00,Shipped,4,10,2003,Medium,USA,,CA,Burlingame,Motorcycles,95,S10_1678,36,96.66,3479.76
10168,10/28/2003 0:00,Shipped,4,10,2003,Small,USA,,CA,Burlingame,Motorcycles,95,S10_1678,36,96.66,3479.76
10180,11/11/2003 0:00,Shipped,4,11,2003,Large,France,EMEA,,Lille,Motorcycles,95,S10_1678,29,86.13,2497.77
10180,11/11/2003 0:00,Shipped,4,11,2003,Medium,France,EMEA,,Lille,Motorcycles,95,S10_1678,29,86.13,2497.77
10180,11/11/2003 0:00,Shipped,4,11,2003,Small,France,EMEA,,Lille,Motorcycles,95,S10_1678,29,86.13,2497.77
10188,11/18/2003 0:00,Shipped,4,11,2003,Large,Norway,EMEA,,Bergen,Motorcycles,95,S10_1678,48,100.0,5512.32
10188,11/18/2003 0:00,Shipped,4,11,2003,Medium,Norway,EMEA,,Bergen,Motorcycles,95,S10_1678,48,100.0,5512.32
10188,11/18/2003 0:00,Shipped,4,11,2003,Small,Norway,EMEA,,Bergen,Motorcycles,95,S10_1678,48,100.0,5512.32
10201,12/1/2003 0:00,Shipped,4,12,2003,Large,USA,,CA,San Francisco,Motorcycles,95,S10_1678,22,98.57,2168.54
10201,12/1/2003 0:00,Shipped,4,12,2003,Medium,USA,,CA,San Francisco,Motorcycles,95,S10_1678,22,98.57,2168.54
10201,12/1/2003 0:00,Shipped,4,12,2003,Small,USA,,CA,San Francisco,Motorcycles,95,S10_1678,22,98.57,2168.54
10211,1/15/2004 0:00,Shipped,1,1,2004,Large,France,EMEA,,Paris,Motorcycles,95,S10_1678,41,100.0,4708.44
10211,1/15/2004 0:00,Shipped,1,1,2004,Medium,France,EMEA,,Paris,Motorcycles,95,S10_1678,41,100.0,4708.44
10211,1/15/2004 0:00,Shipped,1,1,2004,Small,France,EMEA,,Paris,Motorcycles,95,S10_1678,41,100.0,4708.44
10223,2/20/2004 0:00,Shipped,1,2,2004,Large,Australia,APAC,Victoria,Melbourne,Motorcycles,95,S10_1678,37,100.0,3965.66
10223,2/20/2004 0:00,Shipped,1,2,2004,Medium,Australia,APAC,Victoria,Melbourne,Motorcycles,95,S10_1678,37,100.0,3965.66
10223,2/20/2004 0:00,Shipped,1,2,2004,Small,Australia,APAC,Victoria,Melbourne,Motorcycles,95,S10_1678,37,100.0,3965.66
10237,4/5/2004 0:00,Shipped,2,4,2004,Large,USA,,NY,NYC,Motorcycles,95,S10_1678,23,100.0,2333.12
10237,4/5/2004 0:00,Shipped,2,4,2004,Medium,USA,,NY,NYC,Motorcycles,95,S10_1678,23,100.0,2333.12
10237,4/5/2004 0:00,Shipped,2,4,2004,Small,USA,,NY,NYC,Motorcycles,95,S10_1678,23,100.0,2333.12
10251,5/18/2004 0:00,Shipped,2,5,2004,Large,USA,,NJ,Newark,Motorcycles,95,S10_1678,28,100.0,3188.64
10251,5/18/2004 0:00,Shipped,2,5,2004,Medium,USA,,NJ,Newark,Motorcycles,95,S10_1678,28,100.0,3188.64
10251,5/18/2004 0:00,Shipped,2,5,2004,Small,USA,,NJ,Newark,Motorcycles,95,S10_1678,28,100.0,3188.64
10263,6/28/2004 0:00,Shipped,2,6,2004,Large,USA,,CT,Bridgewater,Motorcycles,95,S10_1678,34,100.0,3676.76
10263,6/28/2004 0:00,Shipped,2,6,2004,Medium,USA,,CT,Bridgewater,Motorcycles,95,S10_1678,34,100.0,3676.76
10263,6/28/2004 0:00,Shipped,2,6,2004,Small,USA,,CT,Bridgewater,Motorcycles,95,S10_1678,34,100.0,3676.76
10275,7/23/2004 0:00,Shipped,3,7,2004,Medium,France,EMEA,,Nantes,Motorcycles,95,S10_1678,45,92.83,4177.35
10275,7/23/2004 0:00,Shipped,3,7,2004,Small,France,EMEA,,Nantes,Motorcycles,95,S10_1678,45,92.83,4177.35
10285,8/27/2004 0:00,Shipped,3,8,2004,Medium,USA,,MA,Cambridge,Motorcycles,95,S10_1678,36,100.0,4099.68
10285,8/27/2004 0:00,Shipped,3,8,2004,Small,USA,,MA,Cambridge,Motorcycles,95,S10_1678,36,100.0,4099.68
10299,9/30/2004 0:00,Shipped,3,9,2004,Large,Finland,EMEA,,Helsinki,Motorcycles,95,S10_1678,23,100.0,2597.39
10299,9/30/2004 0:00,Shipped,3,9,2004,Medium,Finland,EMEA,,Helsinki,Motorcycles,95,S10_1678,23,100.0,2597.39
10299,9/30/2004 0:00,Shipped,3,9,2004,Small,Finland,EMEA,,Helsinki,Motorcycles,95,S10_1678,23,100.0,2597.39
10309,10/15/2004 0:00,Shipped,4,10,2004,Medium,Norway,EMEA,,Stavern,Motorcycles,95,S10_1678,41,100.0,4394.38
10309,10/15/2004 0:00,Shipped,4,10,2004,Small,Norway,EMEA,,Stavern,Motorcycles,95,S10_1678,41,100.0,4394.38
